A,RELATION,B,WEIGHT
Raspberry,hasQuality,"Round (Small, Aggregate)",0.8
Blackberry,isA,Fruit,0.95
Blackberry,isA,Food,0.85
Blackberry,hasQuality,Black,0.75
Blackberry,hasQuality,"Round (Small, Aggregate)",0.8
Lemon,isA,Fruit,0.95
Lemon,isA,Food,0.85
Lemon,hasQuality,Yellow,0.75
Lemon,hasQuality,Oval,0.8
Lime,isA,Fruit,0.95
Lime,isA,Food,0.85
Lime,hasQuality,Green,0.75
Lime,hasQuality,Oval (Small),0.8
Kiwi,isA,Fruit,0.95
Kiwi,isA,Food,0.85
Kiwi,hasQuality,Brown,0.75
Kiwi,hasQuality,Oval,0.8
Papaya,isA,Fruit,0.95
Papaya,isA,Food,0.85
Papaya,hasQuality,Orange,0.75
Papaya,hasQuality,Oval,0.8
Coconut,isA,Fruit,0.95
Coconut,isA,Food,0.85
Coconut,hasQuality,Brown,0.75
Coconut,hasQuality,Round,0.8
Avocado,isA,Fruit,0.95
Avocado,isA,Food,0.85
Avocado,hasQuality,Green,0.75
Avocado,hasQuality,Pear-Shaped,0.8
Fig,isA,Fruit,0.95
Fig,isA,Food,0.85
Fig,hasQuality,Purple,0.75
Fig,hasQuality,Teardrop-Shaped,0.8
Pomegranate,isA,Fruit,0.95
Pomegranate,isA,Food,0.85
Pomegranate,hasQuality,Red,0.75
Pomegranate,hasQuality,Round,0.8
Plum,isA,Fruit,0.95
Plum,isA,Food,0.85
Plum,hasQuality,Purple,0.75
Plum,hasQuality,Round,0.8
Apricot,isA,Fruit,0.95
Apricot,isA,Food,0.85
Apricot,hasQuality,Orange,0.75
Apricot,hasQuality,Round (Small),0.8
Cantaloupe,isA,Fruit,0.95
Cantaloupe,isA,Food,0.85
Cantaloupe,hasQuality,Tan,0.75
Cantaloupe,hasQuality,Round,0.8
Honeydew Melon,isA,Fruit,0.95
Honeydew Melon,isA,Food,0.85
Honeydew Melon,hasQuality,Green,0.75
Honeydew Melon,hasQuality,Round,0.8
Cranberry,isA,Fruit,0.95
Cranberry,isA,Food,0.85
Cranberry,hasQuality,Red,0.75
Cranberry,hasQuality,Round (Small),0.8
Guava,isA,Fruit,0.95
Guava,isA,Food,0.85
Guava,hasQuality,Green,0.75
Guava,hasQuality,Oval,0.8
Dragon Fruit,isA,Fruit,0.95
Dragon Fruit,isA,Food,0.85
Dragon Fruit,hasQuality,Pink,0.75
Dragon Fruit,hasQuality,Oval,0.8
Passion Fruit,isA,Fruit,0.95
Passion Fruit,isA,Food,0.85
Passion Fruit,hasQuality,Purple,0.75
Passion Fruit,hasQuality,Round (Small),0.8
Star Fruit,isA,Fruit,0.95
Star Fruit,isA,Food,0.85
Star Fruit,hasQuality,Yellow,0.75
Star Fruit,hasQuality,Star-Shaped,0.8
Tangerine,isA,Fruit,0.95
Tangerine,isA,Food,0.85
Tangerine,hasQuality,Orange,0.75
Tangerine,hasQuality,Round,0.8
Grapefruit,isA,Fruit,0.95
Grapefruit,isA,Food,0.85
Grapefruit,hasQuality,Pink,0.75
Grapefruit,hasQuality,Round,0.8
Date,isA,Fruit,0.95
Date,isA,Food,0.85
Date,hasQuality,Brown,0.75
Date,hasQuality,Oval (Elongated),0.8
Lychee,isA,Fruit,0.95
Lychee,isA,Food,0.85
Lychee,hasQuality,Red,0.75
Lychee,hasQuality,Round (Small),0.8
Persimmon,isA,Fruit,0.95
Persimmon,isA,Food,0.85
Persimmon,hasQuality,Orange,0.75
Persimmon,hasQuality,Round,0.8
Fruit,isA,Food,0.85
Carrot,isA,Vegetable,0.95
Carrot,isA,Food,0.85
Carrot,hasQuality,Orange,0.7
Carrot,hasQuality,Elongated (Cone-Shaped),0.8
Potato,isA,Vegetable,0.95
Potato,isA,Food,0.85
Potato,hasQuality,Brown,0.7
Potato,hasQuality,Oval,0.8
Tomato,isA,Vegetable,0.95
Tomato,isA,Food,0.85
Tomato,hasQuality,Red,0.7
Tomato,hasQuality,Round,0.8
Broccoli,isA,Vegetable,0.95
Broccoli,isA,Food,0.85
Broccoli,hasQuality,Green,0.7
Broccoli,hasQuality,Tree-Shaped,0.8
Cucumber,isA,Vegetable,0.95
Cucumber,isA,Food,0.85
Cucumber,hasQuality,Green,0.7
Cucumber,hasQuality,Cylindrical,0.8
Pumpkin,isA,Vegetable,0.95
Pumpkin,isA,Food,0.85
Pumpkin,hasQuality,Orange,0.7
Pumpkin,hasQuality,Round,0.8
Corn,isA,Vegetable,0.95
Corn,isA,Food,0.85
Corn,hasQuality,Yellow,0.7
Corn,hasQuality,Cylindrical (Elongated),0.8
Bell Pepper,isA,Vegetable,0.95
Bell Pepper,isA,Food,0.85
Bell Pepper,hasQuality,Red,0.7
Bell Pepper,hasQuality,Bell-Shaped,0.8
Onion,isA,Vegetable,0.95
Onion,isA,Food,0.85
Onion,hasQuality,White,0.7
Onion,hasQuality,Round,0.8
Garlic,isA,Vegetable,0.95
Garlic,isA,Food,0.85
Garlic,hasQuality,White,0.7
Garlic,hasQuality,Round (Bulb),0.8
Eggplant,isA,Vegetable,0.95
Eggplant,isA,Food,0.85
Eggplant,hasQuality,Purple,0.7
Eggplant,hasQuality,Oval,0.8
Pea,isA,Vegetable,0.95
Pea,isA,Food,0.85
Pea,hasQuality,Green,0.7
Pea,hasQuality,Round (Small),0.8
Lettuce,isA,Vegetable,0.95
Lettuce,isA,Food,0.85
Lettuce,hasQuality,Green,0.7
Lettuce,hasQuality,Round (Leafy),0.8
Spinach,isA,Vegetable,0.95
Spinach,isA,Food,0.85
Spinach,hasQuality,Green,0.7
Spinach,hasQuality,Leafy,0.8
Cabbage,isA,Vegetable,0.95
Cabbage,isA,Food,0.85
Cabbage,hasQuality,Green,0.7
Cabbage,hasQuality,Round,0.8
Cauliflower,isA,Vegetable,0.95
Cauliflower,isA,Food,0.85
Cauliflower,hasQuality,White,0.7
Cauliflower,hasQuality,Round,0.8
Radish,isA,Vegetable,0.95
Radish,isA,Food,0.85
Radish,hasQuality,Red,0.7
Radish,hasQuality,Round (Small),0.8
Beet,isA,Vegetable,0.95
Beet,isA,Food,0.85
Beet,hasQuality,Purple,0.7
Beet,hasQuality,Round,0.8
Zucchini,isA,Vegetable,0.95
Zucchini,isA,Food,0.85
Zucchini,hasQuality,Green,0.7
Zucchini,hasQuality,Cylindrical,0.8
Sweet Potato,isA,Vegetable,0.95
Sweet Potato,isA,Food,0.85
Sweet Potato,hasQuality,Orange,0.7
Sweet Potato,hasQuality,Oval,0.8
Celery,isA,Vegetable,0.95
Celery,isA,Food,0.85
Celery,hasQuality,Green,0.7
Celery,hasQuality,Elongated,0.8
Asparagus,isA,Vegetable,0.95
Asparagus,isA,Food,0.85
Asparagus,hasQuality,Green,0.7
Asparagus,hasQuality,Elongated,0.8
Artichoke,isA,Vegetable,0.95
Artichoke,isA,Food,0.85
Artichoke,hasQuality,Green,0.7
Artichoke,hasQuality,Round,0.8
Squash,isA,Vegetable,0.95
Squash,isA,Food,0.85
Squash,hasQuality,Yellow,0.7
Squash,hasQuality,Oval,0.8
Leek,isA,Vegetable,0.95
Leek,isA,Food,0.85
Leek,hasQuality,White,0.7
Leek,hasQuality,Elongated,0.8
Turnip,isA,Vegetable,0.95
Turnip,isA,Food,0.85
Turnip,hasQuality,Purple,0.7
Turnip,hasQuality,Round,0.8
Vegetable,isA,Food,0.85
Stop Sign,isA,Traffic Sign,0.85
Stop Sign,isA,Object,0.75
Stop Sign,hasQuality,Red,0.7
Stop Sign,hasQuality,Octagonal,0.8
Yield Sign,isA,Traffic Sign,0.85
Yield Sign,isA,Object,0.75
Yield Sign,hasQuality,Yellow,0.7
Yield Sign,hasQuality,Triangular,0.8
Traffic Cone,isA,Safety Equipment,0.85
Traffic Cone,isA,Object,0.75
Traffic Cone,hasQuality,Orange,0.7
Traffic Cone,hasQuality,Cone-Shaped,0.8
Basketball,isA,Sports Equipment,0.85
Basketball,isA,Object,0.75
Basketball,hasQuality,Orange,0.7
Basketball,hasQuality,Round (Sphere),0.8
Tennis Ball,isA,Sports Equipment,0.85
Tennis Ball,isA,Object,0.75
Tennis Ball,hasQuality,Yellow-Green,0.7
Tennis Ball,hasQuality,Round (Sphere),0.8
Baseball,isA,Sports Equipment,0.85
Baseball,isA,Object,0.75
Baseball,hasQuality,White,0.7
Baseball,hasQuality,Round (Sphere),0.8
Golf Ball,isA,Sports Equipment,0.85
Golf Ball,isA,Object,0.75
Golf Ball,hasQuality,White,0.7
Golf Ball,hasQuality,Round (Sphere),0.8
American Football,isA,Sports Equipment,0.85
American Football,isA,Object,0.75
American Football,hasQuality,Brown,0.7
American Football,hasQuality,Oval (Prolate Spheroid),0.8
Volleyball,isA,Sports Equipment,0.85
Volleyball,isA,Object,0.75
Volleyball,hasQuality,White,0.7
Volleyball,hasQuality,Round (Sphere),0.8
Hockey Puck,isA,Sports Equipment,0.85
Hockey Puck,isA,Object,0.75
Hockey Puck,hasQuality,Black,0.7
Hockey Puck,hasQuality,Cylindrical (Disk),0.8
Chessboard,isA,Game Equipment,0.85
Chessboard,isA,Object,0.75
Chessboard,hasQuality,Black and White,0.7
Chessboard,hasQuality,Square,0.8
Domino,isA,Game Equipment,0.85
Domino,isA,Object,0.75
Domino,hasQuality,White,0.7
Domino,hasQuality,Rectangular,0.8
Dice,isA,Game Equipment,0.85
Dice,isA,Object,0.75
Dice,hasQuality,White,0.7
Dice,hasQuality,Cube-Shaped,0.8
Playing Card,isA,Game Equipment,0.85
Playing Card,isA,Object,0.75
Playing Card,hasQuality,Rectangular,0.8
Pencil,isA,Stationery,0.85
Pencil,isA,Object,0.75
Pencil,hasQuality,Yellow,0.7
Pencil,hasQuality,Cylindrical,0.8
Eraser,isA,Stationery,0.85
Eraser,isA,Object,0.75
Eraser,hasQuality,Pink,0.7
Eraser,hasQuality,Rectangular,0.8
Ruler,isA,Stationery,0.85
Ruler,isA,Object,0.75
Ruler,hasQuality,Rectangular,0.8
Envelope,isA,Stationery,0.85
Envelope,isA,Object,0.75
Envelope,hasQuality,White,0.7
Envelope,hasQuality,Rectangular,0.8
Book,isA,Stationery,0.85
Book,isA,Object,0.75
Book,hasQuality,Rectangular,0.8
Blackboard,isA,School Equipment,0.85
Blackboard,isA,Object,0.75
Blackboard,hasQuality,Black,0.7
Blackboard,hasQuality,Rectangular,0.8
Whiteboard,isA,School Equipment,0.85
Whiteboard,isA,Object,0.75
Whiteboard,hasQuality,White,0.7
Whiteboard,hasQuality,Rectangular,0.8
School Bus,isA,Vehicle,0.85
School Bus,isA,Object,0.75
School Bus,hasQuality,Yellow,0.7
School Bus,hasQuality,Rectangular (Box-Shaped),0.8
Fire Truck,isA,Vehicle,0.85
Fire Truck,isA,Object,0.75
Fire Truck,hasQuality,Red,0.7
Fire Hydrant,isA,Safety Equipment,0.85
Fire Hydrant,isA,Object,0.75
Fire Hydrant,hasQuality,Red,0.7
Brick,isA,Building Material,0.85
Brick,isA,Object,0.75
Brick,hasQuality,Red,0.7
Brick,hasQuality,Rectangular,0.8
Snowflake,isA,Natural Object,0.85
Snowflake,isA,Object,0.75
Snowflake,hasQuality,White,0.7
Snowflake,hasQuality,Hexagonal,0.8
Honeycomb,isA,Natural Object,0.85
Honeycomb,isA,Object,0.75
Honeycomb,hasQuality,Yellow,0.7
Honeycomb,hasQuality,Hexagonal,0.8
Sun,isA,Celestial Body,0.85
Sun,isA,Object,0.75
Sun,hasQuality,Yellow,0.7
Sun,hasQuality,Round (Sphere),0.8
Moon,isA,Celestial Body,0.85
Moon,isA,Object,0.75
Moon,hasQuality,Gray,0.7
Moon,hasQuality,Round (Sphere),0.8
Vinyl Record,isA,Media,0.85
Vinyl Record,isA,Object,0.75
Vinyl Record,hasQuality,Black,0.7
Vinyl Record,hasQuality,Round (Disk),0.8
Compact Disc,isA,Media,0.85
Compact Disc,isA,Object,0.75
Compact Disc,hasQuality,Silver,0.7
Compact Disc,hasQuality,Round (Disk),0.8
Traffic Light,isA,Signal Equipment,0.85
Traffic Light,isA,Object,0.75
Traffic Light,hasQuality,Rectangular,0.8
Umbrella,isA,Household Item,0.85
Umbrella,isA,Object,0.75
Umbrella,hasQuality,Dome-Shaped,0.8
Clock (Analog),isA,Household Item,0.85
Clock (Analog),isA,Object,0.75
Clock (Analog),hasQuality,Round (Circular),0.8
Mirror,isA,Household Item,0.85
Mirror,isA,Object,0.75
Mirror,hasQuality,Rectangular,0.8
Pillow,isA,Household Item,0.85
Pillow,isA,Object,0.75
Pillow,hasQuality,Rectangular,0.8
Ice Cream Cone,isA,Food Container,0.85
Ice Cream Cone,isA,Object,0.75
Ice Cream Cone,hasQuality,Tan,0.7
Ice Cream Cone,hasQuality,Cone-Shaped,0.8
Pizza,isA,Food,0.85
Pizza,isA,Object,0.75
Pizza,hasQuality,Round (Circular),0.8
Pizza Slice,isA,Food,0.85
Pizza Slice,isA,Object,0.75
Pizza Slice,hasQuality,Triangular,0.8
Egg,isA,Food,0.85
Egg,isA,Object,0.75
Egg,hasQuality,White,0.7
Egg,hasQuality,Oval,0.8
Slice of Watermelon,isA,Food,0.85
Slice of Watermelon,isA,Object,0.75
Slice of Watermelon,hasQuality,Red and Green,0.7
Slice of Watermelon,hasQuality,Triangular,0.8
Rainbow,isA,Natural Object,0.85
Rainbow,isA,Object,0.75
Rainbow,hasQuality,Multicolored,0.7
Rainbow,hasQuality,Arc-Shaped,0.8
Building Material,isA,Object,0.75
Celestial Body,isA,Object,0.75
Food,isA,Object,0.75
Food Container,isA,Object,0.75
Game Equipment,isA,Object,0.75
Household Item,isA,Object,0.75
Media,isA,Object,0.75
Natural Object,isA,Object,0.75
Safety Equipment,isA,Object,0.75
School Equipment,isA,Object,0.75
Signal Equipment,isA,Object,0.75
Sports Equipment,isA,Object,0.75
Stationery,isA,Object,0.75
Traffic Sign,isA,Object,0.75
Vehicle,isA,Object,0.75
Traffic Barrel,isA,Safety Equipment,0.85
Traffic Barrel,isA,Object,0.75
Traffic Barrel,hasQuality,Orange,0.7
Traffic Barrel,hasQuality,Cylindrical,0.8
Life Preserver,isA,Safety Equipment,0.85
Life Preserver,isA,Object,0.75
Life Preserver,hasQuality,Orange,0.7
Life Preserver,hasQuality,Ring-Shaped,0.8
Manhole Cover,isA,Infrastructure,0.85
Manhole Cover,isA,Object,0.75
Manhole Cover,hasQuality,Gray,0.7
Manhole Cover,hasQuality,Round (Circular),0.8
Tire,isA,Vehicle Part,0.85
Tire,isA,Object,0.75
Tire,hasQuality,Black,0.7
Tire,hasQuality,Round (Circular),0.8
License Plate,isA,Vehicle Part,0.85
License Plate,isA,Object,0.75
License Plate,hasQuality,Rectangular,0.8
Piano Key,isA,Musical Instrument Part,0.85
Piano Key,isA,Object,0.75
Piano Key,hasQuality,Black and White,0.7
Piano Key,hasQuality,Rectangular,0.8
Drum,isA,Musical Instrument,0.85
Drum,isA,Object,0.75
Drum,hasQuality,Cylindrical,0.8
Recycling Bin,isA,Household Item,0.85
Recycling Bin,isA,Object,0.75
Recycling Bin,hasQuality,Blue,0.7
Recycling Bin,hasQuality,Cylindrical,0.8
Trash Can,isA,Household Item,0.85
Trash Can,isA,Object,0.75
Trash Can,hasQuality,Black,0.7
Basketball Hoop,isA,Sports Equipment,0.85
Basketball Hoop,isA,Object,0.75
Basketball Hoop,hasQuality,Orange,0.7
Basketball Hoop,hasQuality,Round (Circular),0.8
Soccer Ball,isA,Sports Equipment,0.85
Soccer Ball,isA,Object,0.75
Soccer Ball,hasQuality,White,0.7
Soccer Ball,hasQuality,Round (Sphere),0.8
Bowling Ball,isA,Sports Equipment,0.85
Bowling Ball,isA,Object,0.75
Bowling Ball,hasQuality,Black,0.7
Bowling Ball,hasQuality,Round (Sphere),0.8
Frisbee,isA,Sports Equipment,0.85
Frisbee,isA,Object,0.75
Frisbee,hasQuality,Round (Disk),0.8
Traffic Barrier,isA,Safety Equipment,0.85
Traffic Barrier,isA,Object,0.75
Traffic Barrier,hasQuality,Orange and White,0.7
Ice Cube Tray,isA,Kitchenware,0.85
Ice Cube Tray,isA,Object,0.75
Ice Cube Tray,hasQuality,Rectangular,0.8
Infrastructure,isA,Object,0.75
Kitchenware,isA,Object,0.75
Musical Instrument,isA,Object,0.75
Musical Instrument Part,isA,Object,0.75
Vehicle Part,isA,Object,0.75
Brussels Sprouts,isA,Vegetable,0.95
Brussels Sprouts,isA,Food,0.85
Brussels Sprouts,hasQuality,Green,0.7
Brussels Sprouts,hasQuality,Round (Small),0.8
Okra,isA,Vegetable,0.95
Okra,isA,Food,0.85
Okra,hasQuality,Green,0.7
Okra,hasQuality,Elongated,0.8
Kale,isA,Vegetable,0.95
Kale,isA,Food,0.85
Kale,hasQuality,Green,0.7
Kale,hasQuality,Leafy,0.8
Bok Choy,isA,Vegetable,0.95
Bok Choy,isA,Food,0.85
Bok Choy,hasQuality,Green,0.7
Bok Choy,hasQuality,Leafy,0.8
Butternut Squash,isA,Vegetable,0.95
Butternut Squash,isA,Food,0.85
Butternut Squash,hasQuality,Tan,0.7
Butternut Squash,hasQuality,Elongated (Bulbous),0.8
Parsnip,isA,Vegetable,0.95
Parsnip,isA,Food,0.85
Parsnip,hasQuality,Cream,0.7
Parsnip,hasQuality,Elongated (Cone-Shaped),0.8
